Name,Accelerometer_Day,Accelerometer_Hour,Accelerometer_Mean,Accelerometer_Std,Accelerometer_Min,Accelerometer_Q1,Accelerometer_Q2,Accelerometer_Q3,Accelerometer_Max,Accelerometer_Skew,Accelerometer_Kurtosis,Accelerometer_Range
Z_007_Day_6_Hour_15,6,15,9.802651539109059,0.08341301045442231,9.499744141117148,9.762748989290621,9.804939685769277,9.841682359961736,10.117489084351798,0.07677901678091276,2.2992000293593966,0.6177449432346496
Z_007_Day_6_Hour_16,6,16,9.864344333875046,0.05541237354258037,9.712425907266322,9.829061625941886,9.863865026213016,9.898430281654974,10.0208765386235,0.047984443059043466,0.11048200619673043,0.30845063135717865
Z_007_Day_6_Hour_17,6,17,9.870787344092884,0.04661930346224002,9.734258298461196,9.84143316317368,9.870766851741763,9.900232976291317,10.009672317855141,0.012728230418012004,0.1858182543151261,0.2754140193939456
Z_007_Day_6_Hour_18,6,18,9.86597487394849,0.03380344457738586,9.797446248804222,9.840501552081465,9.865443661016233,9.891011172481036,9.93790980265235,0.054964208933701464,-0.7911259283316112,0.14046355384812692
Z_007_Day_6_Hour_19,6,19,9.847520379911954,0.1727077012785701,9.227112654221992,9.794617226462211,9.849251349678482,9.901037591086808,10.506086725711544,0.10235210680857684,3.5078217866565833,1.278974071489552
Z_007_Day_6_Hour_21,6,21,9.836977511961415,0.18185777417087634,9.263651544950244,9.766836134805214,9.836773598972233,9.906205913616358,10.453722660335037,0.07242537202741373,2.020151367050498,1.190071115384793
Z_007_Day_6_Hour_22,6,22,9.819549226062458,0.1940166755446303,9.184470449296343,9.755191600521044,9.808968743998475,9.866281802520765,10.488887994721644,0.37639858319877634,2.5375536529934557,1.3044175454253004
Z_008_Day_0_Hour_09,0,9,9.799602704480726,0.17086597115900712,9.215921580638378,9.738333920737945,9.795734086042714,9.848358121913737,10.424604439695456,0.3285280058114432,3.1776535320393657,1.2086828590570775
Z_008_Day_0_Hour_11,0,11,9.80609551302706,0.09774787558371421,9.486098289044937,9.758694951423172,9.802035851832624,9.846909041189017,10.145016154763534,0.316383151011222,1.9737920543178022,0.6589178657185961
Z_008_Day_0_Hour_12,0,12,9.83369502475596,0.2473896643120812,9.251488761665415,9.672829109311119,9.831327823114751,9.994365699295818,10.442733577002672,0.030102830107292398,-0.31428061117977624,1.1912448153372566
Z_008_Day_0_Hour_13,0,13,9.96147427505902,2.255619974519713,6.8428860673213885,7.471771234290761,10.153911616461695,12.236032590088636,13.172104137715179,-0.057417761381244874,-1.6137513538853572,6.32921807039379
Z_008_Day_1_Hour_08,1,8,9.807968395204245,0.09918606615800145,9.334220858050498,9.772472077564453,9.805738331474029,9.83990728408732,10.307225515685802,0.36322276869904024,7.705498587533695,0.973004657635304
Z_008_Day_1_Hour_22,1,22,9.79459729551211,0.09269923171363087,9.48781506393514,9.745740261562196,9.791569036961786,9.837341181286614,10.114473790102679,0.26553701929667106,1.6396976797383012,0.6266587261675394
Z_008_Day_2_Hour_19,2,19,9.854436854331537,0.09874492805793163,9.535285240147827,9.809712327461106,9.857295255916888,9.90123332706401,10.189558655737901,0.007092511351484853,1.7187987933358855,0.6542734155900742
Z_008_Day_2_Hour_21,2,21,9.877216136859815,0.1757297982237968,9.276844053868576,9.8254238789787,9.876722085383157,9.92650402834519,10.529950214692386,0.2042766830316111,3.4544383506827607,1.25310616082381
Z_008_Day_3_Hour_08,3,8,9.786891256079166,0.046652910462268785,9.683787797238892,9.753077293182304,9.786633887136713,9.820283758321828,9.893093846781936,0.022318305946290622,-0.6405242253463386,0.20930604954304322
Z_008_Day_3_Hour_20,3,20,9.842123087923843,0.31739858981999103,8.987078906142154,9.7367741145801,9.833766543556212,9.925734516802587,10.79202929941571,0.24827311884967193,1.442103430221736,1.8049503932735558
Z_008_Day_3_Hour_22,3,22,9.826868743727115,0.194160362314286,9.30932226047506,9.764431910588861,9.822082630557565,9.882132641823613,10.402476965205578,0.1898273901424465,1.4218949885625332,1.0931547047305177
Z_009_Day_0_Hour_10,0,10,9.96614240220982,0.04397504926981683,9.80612644118967,9.939491667481912,9.965608493854448,9.992943793428362,10.130718539686256,0.03575336730525243,0.8312498664561607,0.324592098496586
Z_009_Day_0_Hour_11,0,11,9.901098057161194,0.7343322784286872,8.236447266790135,9.577261415502681,9.890309090797727,10.136291482250439,11.845424264228312,0.3141576880260533,0.3556458719834965,3.6089769974381767
Z_009_Day_0_Hour_17,0,17,9.997538083768655,0.8835474857238154,8.361396901334775,9.373870064385793,9.880848666181892,10.607648828614066,11.944132868491815,0.2927484369680154,-0.6471862257753838,3.5827359671570402
Z_009_Day_0_Hour_18,0,18,9.950096678898296,0.9078547954815277,8.171429324387612,9.419029563882132,9.819958043271809,10.457003312416964,12.050721209578391,0.34167155084448475,-0.3323239687611168,3.8792918851907796
Z_009_Day_1_Hour_10,1,10,9.991009201202115,0.8293843413282084,8.326384861368732,9.441250070616134,9.92374540537946,10.508482548903018,11.940121861589892,0.2601134510328056,-0.4410289074807876,3.6137370002211604
Z_009_Day_1_Hour_19,1,19,9.804307825407623,0.22109873365559443,9.004001211269426,9.739107561397326,9.791098901486965,9.84387666344614,10.693248759493095,0.5272287842434064,4.159269685138003,1.689247548223669
Z_009_Day_2_Hour_09,2,9,9.829719214353217,0.04726556237430484,9.396905029558264,9.81092474488214,9.829459984163883,9.848065528198742,10.273889258489676,0.7871970979958922,28.642994667817018,0.8769842289314127
Z_009_Day_2_Hour_19,2,19,9.984642568734118,0.10458703300522382,9.730686229642163,9.924083499989415,9.987642750438251,10.0515302197064,10.23550638941026,-0.14750059271553567,-0.15716685434364264,0.5048201597680961
Z_009_Day_2_Hour_20,2,20,9.79164873332272,0.11788692562386145,9.45845457820285,9.718880083919172,9.764657175513596,9.884562343281711,10.136288583756626,0.20796762934062918,0.11164266349790575,0.677834005553775
Z_009_Day_3_Hour_10,3,10,9.99211745884442,1.0727626072706584,7.92484307075096,9.36408082756114,9.831558898819804,10.65039756446511,12.41743309174133,0.28650655941687675,-0.47386462154443754,4.49259002099037
Z_009_Day_3_Hour_20,3,20,9.9800005801907,1.0466245632659397,8.023591057536013,9.326953469676294,9.88874509219092,10.550657233673315,12.402112120696696,0.32464919688663224,-0.41986987155850075,4.378521063160683
Z_009_Day_4_Hour_10,4,10,9.873071809042878,0.6829216129878597,8.4472576065236,9.511138454111927,9.792228316594912,10.224810945640183,11.515307388720872,0.3148719509805511,-0.1382480534415107,3.0680497821972725
Z_009_Day_5_Hour_10,5,10,9.930331743966414,0.6408565760749307,8.592879843057728,9.50369918452625,9.902475975592584,10.333539314532246,11.395200129362527,0.1841213172537807,-0.4619601541561713,2.8023202863047985
Z_009_Day_5_Hour_19,5,19,9.987752900423992,0.08183004812912913,9.780128616212917,9.93737601268625,9.981545313131216,10.035542268678213,10.203069474647753,0.20715566824638404,-0.004732375688482726,0.42294085843483664
Z_009_Day_5_Hour_20,5,20,9.790146819742333,0.11594485797335403,9.426806103336856,9.734381294296155,9.775195089535881,9.836581189823196,10.17026452770832,0.3698096792594031,1.5950445027669682,0.7434584243714628
Z_009_Day_6_Hour_11,6,11,9.945877659307952,0.8277921131375117,8.218758395605485,9.45058305740501,9.878812834873164,10.430134294552047,11.937111380369256,0.24641280704658164,-0.2671643491129916,3.7183529847637704
Z_009_Day_6_Hour_12,6,12,9.81779898584867,0.49006718526095044,8.598507706581804,9.633056607307708,9.751448343242807,9.952123216178684,11.231754154035308,0.5156835649826687,1.013865291435132,2.6332464474535033
Z_009_Day_6_Hour_16,6,16,9.888386299967376,0.5448799875527328,8.26122087990734,9.715140545657036,9.829595812844193,10.000167485419663,11.758257318349019,0.6282372896836123,2.5475186194992636,3.497036438441679
Z_009_Day_6_Hour_17,6,17,9.851479489070284,0.4398367763262039,8.825926968220173,9.638155930581432,9.794612957669742,10.034745517375598,11.015951002737035,0.41317238051111654,0.40912000465539045,2.1900240345168616
Z_009_Day_6_Hour_18,6,18,9.751870558830054,0.13967499510184306,9.286598669262975,9.69146272486945,9.752308386992024,9.810929753657552,10.23330852291307,0.057501076869614184,2.0040036955980494,0.9467098536500949
